分類,サブ分類,ドメイン,URL,発信者,備考
国営,,go.jp,https://www.kantei.go.jp,首相官邸,
国営,,go.jp,https://corona.go.jp/,内閣官房,
国営,,go.jp,https://www.mhlw.go.jp,厚生労働省,
国営,,go.jp,https://www.forth.go.jp,厚生労働省検疫所,
国営,,go.jp,https://www.cov19-vaccine.mhlw.go.jp,厚生労働省新型コロナウイルスについて,
国営,,go.jp,https://www.anzen.mofa.go.jp/,外務省海外安全ホームページ,
国営,,go.jp,https://www.mofa.go.jp/mofaj/,外務省,
国営,,go.jp,https://www.moj.go.jp,法務省,
国営,,go.jp,https://www.niid.go.jp/,厚生労働省戸山研究庁舎（国立感染症研究所等）,
国営,,go.jp,https://www.npa.go.jp/,警視庁,
国営,,go.jp,https://www.npsc.go.jp/,国家公安委員会,
国営,,go.jp,https://www.fsa.go.jp/,金融庁,
国営,,go.jp,https://www.clb.go.jp/,内閣法制局,
国営,,go.jp,https://www.kunaicho.go.jp/,宮内庁,
国営,,go.jp,https://www.soumu.go.jp/,総務省,
国営,,go.jp,https://www.mof.go.jp/,財務省,
国営,,go.jp,https://www.mext.go.jp/,文部科学省,
国営,,go.jp,https://www.meti.go.jp/,経済産業省,
国営,,go.jp,https://www.mlit.go.jp/,国土交通省,
国営,,go.jp,http://www.env.go.jp/,環境省,
公営,都道府県,lg.jp,https://www.pref.hokkaido.lg.jp/,北海道,
公営,都道府県,lg.jp,https://www.pref.aomori.lg.jp/,青森,
公営,都道府県,,https://www.pref.iwate.jp/,岩手,
公営,都道府県,,https://www.pref.miyagi.jp/,宮城,
公営,都道府県,lg.jp,https://www.pref.akita.lg.jp/,秋田,
公営,都道府県,,https://www.pref.yamagata.jp/,山形,
公営,都道府県,lg.jp,https://www.pref.fukushima.lg.jp/,福島,
公営,都道府県,,https://www.pref.ibaraki.jp/,茨城,
公営,都道府県,lg.jp,https://www.pref.tochigi.lg.jp/,栃木,
公営,都道府県,,https://www.pref.gunma.jp/,群馬,
公営,都道府県,lg.jp,https://www.pref.saitama.lg.jp/,埼玉,
公営,都道府県,lg.jp,https://www.pref.chiba.lg.jp/,千葉,
公営,都道府県,lg.jp,https://www.metro.tokyo.lg.jp,東京都,
公営,都道府県,,https://www.pref.kanagawa.jp/,神奈川,
公営,都道府県,lg.jp,https://www.pref.niigata.lg.jp/,新潟,
公営,都道府県,,https://www.pref.toyama.jp/,富山,
公営,都道府県,lg.jp,https://www.pref.ishikawa.lg.jp/,石川,
公営,都道府県,lg.jp,https://www.pref.fukui.lg.jp/,福井,
公営,都道府県,,https://www.pref.yamanashi.jp/,山梨,
公営,都道府県,lg.jp,https://www.pref.nagano.lg.jp/,長野,
公営,都道府県,lg.jp,https://www.pref.gifu.lg.jp/,岐阜,
公営,都道府県,,https://www.pref.shizuoka.jp/,静岡,
公営,都道府県,,https://www.pref.aichi.jp/,愛知,
公営,都道府県,lg.jp,https://www.pref.mie.lg.jp/,三重,
公営,都道府県,lg.jp,https://www.pref.shiga.lg.jp/,滋賀,
公営,都道府県,,https://www.pref.kyoto.jp/,京都,
公営,都道府県,lg.jp,https://www.pref.osaka.lg.jp/,大阪,
公営,都道府県,lg.jp,https://web.pref.hyogo.lg.jp/,兵庫,
公営,都道府県,,http://www.pref.nara.jp/,奈良,
公営,都道府県,lg.jp,https://www.pref.wakayama.lg.jp/,和歌山,
公営,都道府県,lg.jp,https://www.pref.tottori.lg.jp/,鳥取,
公営,都道府県,lg.jp,https://www.pref.shimane.lg.jp/,島根,
公営,都道府県,,https://www.pref.okayama.jp/,岡山,
公営,都道府県,lg.jp,https://www.pref.hiroshima.lg.jp/,広島,
公営,都道府県,lg.jp,https://www.pref.yamaguchi.lg.jp/,山口,
公営,都道府県,lg.jp,https://www.pref.tokushima.lg.jp/,徳島,
公営,都道府県,lg.jp,https://www.pref.kagawa.lg.jp/,香川,
公営,都道府県,,https://www.pref.ehime.jp/,愛媛,
公営,都道府県,lg.jp,https://www.pref.kochi.lg.jp/,高知,
公営,都道府県,lg.jp,https://www.pref.fukuoka.lg.jp/,福岡,
公営,都道府県,lg.jp,https://www.pref.saga.lg.jp/,佐賀,
公営,都道府県,,https://www.pref.nagasaki.jp/,長崎,
公営,都道府県,,https://www.pref.kumamoto.jp/,熊本,
公営,都道府県,,https://www.pref.oita.jp/,大分,
公営,都道府県,lg.jp,https://www.pref.miyazaki.lg.jp/,宮崎,
公営,都道府県,,https://www.pref.kagoshima.jp/,鹿児島,
公営,都道府県,lg.jp,https://www.pref.okinawa.lg.jp/,沖縄,
公営,メディア,,https://www3.nhk.or.jp,NHK,
民間,医師会など,,https://covnavi.jp/,コビナビ,
民間,医師会など,,https://www.med.or.jp,日本医師会,
民間,医師会など,,https://www.jpeds.or.jp/,日本小児科学会,
民間,医師会など,,https://www.msf.or.jp/,国境なき医師団,
民間,その他,,https://www.covid19-yamanaka.com,山中伸弥,
民間,その他,,https://fij.info/coronavirus-feature,FIJ,
民間,その他,,https://www.seiho.or.jp,生命保険協会,
民間,信頼度が低い,,https://www.pandaid.jp/,PANDAID,
民間,信頼度が低い,,https://www.buzzfeed.com/jp,BuzzFeed,こびナビと連携しているらしい．ファクトチェックにも多く使われている